snapshot_id,account_id,platform,account_label,account_handle,external_id,follower_count,following_count,post_count,like_count,view_count,profile_url,source_url,collected_at,snapshot_date,daily_gain
12,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,92939,293,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-14T22:44:22-04:00,2026-06-14,
31,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,92956,293,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-15T19:05:44-04:00,2026-06-15,17
47,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,92963,292,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-16T22:30:45-04:00,2026-06-16,7
54,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,92991,292,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-17T08:01:44-04:00,2026-06-17,28
61,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,92992,291,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-19T08:02:37-04:00,2026-06-19,1
68,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,93042,292,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-20T10:26:48-04:00,2026-06-20,50
75,girlfriend-instagram,instagram,Instagram,officialladysublime,17841434948962018,93091,290,28,,,https://www.instagram.com/officialladysublime/,https://graph.facebook.com/v25.0/17841434948962018,2026-06-21T08:22:15-04:00,2026-06-21,49
33,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3131,8,7,9088,,,https://open.tiktokapis.com/v2/user/info/,2026-06-15T19:05:49-04:00,2026-06-15,
49,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3131,8,7,9095,,,https://open.tiktokapis.com/v2/user/info/,2026-06-16T22:30:48-04:00,2026-06-16,0
56,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3131,8,7,9097,,,https://open.tiktokapis.com/v2/user/info/,2026-06-17T08:01:52-04:00,2026-06-17,0
63,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3134,8,7,9122,,,https://open.tiktokapis.com/v2/user/info/,2026-06-19T08:02:41-04:00,2026-06-19,3
70,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3134,8,7,9125,,,https://open.tiktokapis.com/v2/user/info/,2026-06-20T10:26:53-04:00,2026-06-20,0
77,girlfriend-tiktok,tiktok,TikTok,ladysublimessbbw,-000KB6K7MtqniW8y5ioykhozUepaIXQIK2z,3134,8,7,9128,,,https://open.tiktokapis.com/v2/user/info/,2026-06-21T08:22:21-04:00,2026-06-21,0
35,girlfriend-x,x,X,LadySublimeBBW,3072318458,30717,473,1255,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-15T19:05:50-04:00,2026-06-15,
51,girlfriend-x,x,X,LadySublimeBBW,3072318458,30711,473,1259,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-16T22:30:48-04:00,2026-06-16,-6
58,girlfriend-x,x,X,LadySublimeBBW,3072318458,30719,473,1260,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-17T08:01:53-04:00,2026-06-17,8
65,girlfriend-x,x,X,LadySublimeBBW,3072318458,30895,473,1263,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-19T08:02:42-04:00,2026-06-19,176
72,girlfriend-x,x,X,LadySublimeBBW,3072318458,30930,471,1245,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-20T10:26:53-04:00,2026-06-20,35
79,girlfriend-x,x,X,LadySublimeBBW,3072318458,30931,471,1245,,,,https://api.x.com/2/users/by/username/ladysublimebbw,2026-06-21T08:22:22-04:00,2026-06-21,1
14,girlfriend-youtube,youtube,YouTube,@ladysublimessbbw,UCgjoVIzGoVuzLWIkvjOKpRw,3090,,5,,522603,,https://www.googleapis.com/youtube/v3/channels,2026-06-14T22:44:25-04:00,2026-06-14,
