activity_id,activity_key,account_id,platform,account_label,account_handle,external_id,posted_at,activity_date,title,body,content_type,post_url,destination_url,campaign,offer,promo_code,views,likes,comments,shares,engagements,clicks,orders,revenue,source_kind,source_url,collected_at,platform_same_day_gain,total_same_day_gain,total_3d_gain,total_7d_gain
,lady-sublime-facebook-page:external:107579258704403_1002661279198378,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_1002661279198378,2026-07-06T22:12:24+0000,2026-07-06,Facebook Page reel,,reel,https://www.facebook.com/reel/1655205672241668/,,,,,,23,3,0,26,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,-11,523,708,708
,lady-sublime-facebook-page:external:107579258704403_1001018269362679,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_1001018269362679,2026-07-05T00:53:26+0000,2026-07-05,Facebook Page reel,,reel,https://www.facebook.com/reel/1304087851485284/,,,,,,56,9,1,66,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,-7,492,1200,1200
,girlfriend-instagram:external:18077572118676496,girlfriend-instagram,instagram,Instagram,officialladysublime,18077572118676496,2026-07-05T00:37:44+0000,2026-07-05,Instagram reel,,reel,https://www.instagram.com/reel/DaZCERJM0PB/,,,,,,3930,108,,4038,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,200,492,1200,1200
,girlfriend-instagram:external:18088568927310108,girlfriend-instagram,instagram,Instagram,officialladysublime,18088568927310108,2026-06-28T21:58:31+0000,2026-06-28,Instagram reel,,reel,https://www.instagram.com/reel/DaJT52UyHx-/,,,,,,2485,76,,2561,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,35,54,219,589
,lady-sublime-facebook-page:external:107579258704403_902407142557126,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_902407142557126,2026-03-06T04:44:07+0000,2026-03-06,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/902407142557126,,,,,,116,9,0,125,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:18086455685270575,girlfriend-instagram,instagram,Instagram,officialladysublime,18086455685270575,2026-03-06T04:44:02+0000,2026-03-06,Instagram carousel_album,,carousel_album,https://www.instagram.com/p/DVh682ilEpM/,,,,,,4728,268,,4996,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_847242531406921,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_847242531406921,2025-12-26T05:32:36+0000,2025-12-26,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/847242531406921,,,,,,98,13,0,111,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:18434164201109971,girlfriend-instagram,instagram,Instagram,officialladysublime,18434164201109971,2025-12-26T05:32:32+0000,2025-12-26,Instagram carousel_album,,carousel_album,https://www.instagram.com/p/DStw23TFHnO/,,,,,,3995,204,,4199,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
,lady-sublime-facebook-page:external:107579258704403_830368759760965,lady-sublime-facebook-page,facebook,Facebook Page,Lady Sublime,107579258704403_830368759760965,2025-12-02T21:13:30+0000,2025-12-02,Facebook Page post,,post,https://www.facebook.com/984245981039908/posts/830368759760965,,,,,,71,4,0,75,,,,meta_recent_content,https://graph.facebook.com/v25.0/107579258704403,2026-07-07T08:03:45-04:00,,,,
,girlfriend-instagram:external:18113721928605042,girlfriend-instagram,instagram,Instagram,officialladysublime,18113721928605042,2025-12-02T21:13:25+0000,2025-12-02,Instagram carousel_album,,carousel_album,https://www.instagram.com/p/DRxpdHrEqwj/,,,,,,3897,85,,3982,,,,meta_recent_content,https://graph.facebook.com/v25.0/17841434948962018,2026-07-07T08:03:41-04:00,,,,
