snapshot_date,follower_count,daily_gain,organic_gain,newly_tracked_audience
2026-06-14,111081,,,0
2026-06-15,144937,33856,8,33848
2026-06-16,148470,3533,-1,3534
2026-06-17,148517,47,47,0
2026-06-19,148691,174,174,0
2026-06-20,148774,83,83,0
2026-06-21,148832,58,58,0
2026-06-22,148865,33,33,0
2026-06-23,148910,45,45,0
2026-06-24,148952,42,42,0
2026-06-26,149013,61,61,0
2026-06-27,149041,28,28,0
2026-06-28,156555,7514,54,7460
2026-06-29,171220,14665,39,14626
2026-06-30,171346,126,126,0
2026-07-01,171444,98,98,0
2026-07-02,181523,10079,119,9960
2026-07-03,181585,62,62,0
2026-07-04,181676,91,91,0
2026-07-05,182168,492,492,0
2026-07-06,182691,523,523,0
2026-07-07,182905,214,214,0
2026-07-09,183362,457,457,0
2026-07-10,183516,154,154,0
2026-07-11,183819,303,303,0
2026-07-12,183867,48,48,0
2026-07-13,183928,61,61,0
2026-07-16,184059,131,131,0
2026-07-17,184111,52,52,0
2026-07-18,184204,93,93,0
2026-07-19,184228,24,24,0
2026-07-20,184548,320,320,0
2026-07-21,185086,538,538,0
2026-07-22,185332,246,246,0
2026-07-23,185442,110,110,0
2026-07-24,185768,326,326,0
